[24.488796,983.042977,73.394649,3.405619,930.60,2478.80],
[24.349285,983.104467,73.868045,3.499475,1409.20,2495.00],
[24.142540,983.250349,73.949206,3.560921,1460.90,2427.00],
[23.905071,983.384818,73.954041,3.600872,1480.40,2352.10],
[23.711234,983.495791,74.189873,3.642563,1596.20,2323.40],
[23.585940,983.642749,74.387046,3.670000,1642.80,2308.00],
[23.714308,983.904748,74.468553,3.515755,1494.20,2637.10],
[23.842767,983.725126,74.970126,3.444969,1493.60,2755.80],
[23.809906,983.589686,75.400943,3.501085,1545.10,2652.30],
[23.803937,983.452094,75.853543,3.513732,1586.40,2613.50],
[23.902047,983.308866,76.573228,3.438157,1663.80,2638.30],
[23.499369,983.811278,74.283912,3.704006,1632.30,2342.30],
[23.524882,983.935134,74.072441,3.636583,1497.80,2462.10],
[23.933912,983.126845,77.011041,3.433076,1664.90,2691.60],
[24.072943,982.837089,77.115506,3.331329,1557.70,2770.30],
[24.000951,982.787971,77.251981,3.406149,1662.50,2673.10],
[23.419268,982.993551,76.308917,3.469952,1675.10,2668.30],
[17.947438,986.742628,69.804959,3.777372,618.20,2059.80],
[23.654444,982.915651,77.346032,3.471714,1753.00,2495.00],
[23.847302,982.915365,77.180952,3.453508,1747.70,2504.50],
[23.781141,982.988653,77.378764,3.481379,1894.30,2478.40],
[23.574444,983.033444,76.995238,3.469349,1789.80,2523.20],
[23.244800,983.058288,75.230400,3.422736,1345.70,2869.00],
[23.207853,983.021218,75.525641,3.387212,1549.00,2804.10],
[23.212520,982.912986,76.024077,3.346260,1570.20,2718.90],
[23.044534,982.920949,76.289389,3.415547,1517.00,2543.60],
[22.625443,983.159291,76.304348,3.533140,1539.80,2339.60],
[21.780937,983.739564,75.843296,3.649693,1546.80,1997.10],
[18.245320,986.600345,73.170772,3.902841,1051.00,1359.60],
[18.190789,986.459457,72.483553,3.825280,793.60,1554.70],
[18.090280,986.516507,71.548600,3.832850,749.90,1764.50],
[17.932673,986.722954,70.531353,3.838449,687.60,1916.10],
[18.090728,986.543675,69.842715,3.680315,613.20,2148.20],
[23.307656,983.042616,75.663477,3.443445,1571.00,2792.70],
[22.148065,983.503597,75.979032,3.605306,1544.40,2171.40],
[21.559385,983.930744,75.799353,3.670049,1546.80,1844.30],
[21.220097,984.348217,75.400324,3.802107,1559.50,1714.90],
[20.720617,984.849253,74.602273,3.859464,1507.90,1683.70],
[20.330407,985.292780,73.834146,3.884976,1464.40,1651.60],
[19.874756,985.559365,73.640065,3.910228,1436.00,1535.90],
[19.413540,985.785873,73.202284,3.984927,1442.70,1454.00],
[18.954160,986.178369,72.761827,4.109331,1439.20,1388.60],
[18.632843,986.457582,72.047386,4.077549,1316.20,1518.50],
[18.733333,986.512320,71.602941,3.997239,1224.80,1575.40],
[18.731424,986.669182,71.414075,4.021358,1173.30,1662.30],
[18.657705,986.697770,71.240984,3.957508,950.60,1660.80],
[18.701642,986.630722,71.770115,3.950788,994.90,1596.90],
[18.628243,986.648128,72.688013,3.952184,1207.70,1433.10],
[18.386371,986.664713,73.486043,3.976929,1302.80,1267.30]
